;_index;_type;_id;_score;_source.date;_source.country;_source.orientation;_source.metadata;_source.keywords;_source.city;_source.rating;_source.county;_source.media;_source.lens;_source.dirname;_source.filename;_source.imported;_source.width;_source.location;_source.state;_source.height;_source.md5;_source.museum;_source.place;_source.modified;_source.deleted;_source.found_file_on_disk;long;lat
0;images2;test;0-DwDG4BeGybUkdgMwYE;2.8154674;2019-10-25T13:34:10;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4723.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;2d0c47ace4ff5d1225254a7eb1695eb4;;;;;;0.0;0.0
1;images2;test;1eDwDG4BeGybUkdgMwZ0;2.8154674;2019-10-24T15:02:21;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4694.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;004388285b6a3c287b3c5ab00df7306d;;;;;;0.0;0.0
2;images2;test;6-DwDG4BeGybUkdgOQbh;2.8154674;2019-10-25T13:34:09;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4722.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;ade73dbe90ed500acd15c49e9896a80a;;;;;;0.0;0.0
3;images2;test;-uDwDG4BeGybUkdgPAby;2.8154674;2019-10-25T13:33:34;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4720.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;f082f4bcf8d2d6bcc5f7a70962fa8d53;;;;;;0.0;0.0
4;images2;test;--DwDG4BeGybUkdgPQZB;2.8154674;2019-10-24T15:11:02;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4708.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;d04e76fd3312c6316e587fa3e02a9678;;;;;;0.0;0.0
5;images2;test;_eDwDG4BeGybUkdgPgZj;2.8154674;2019-10-24T14:55:58;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4683.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;f8a0fc8c39a139a7bd5de48d818ffc6a;;;;;;0.0;0.0
6;images2;test;_-DwDG4BeGybUkdgPgb6;2.8154674;2019-10-24T14:22:12;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4654.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;fa18237b6e5a2352400a4389f4b70b15;;;;;;0.0;0.0
7;images2;test;AeDwDG4BeGybUkdgPwdh;2.8154674;2019-10-24T14:52:39;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4668.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;d5567bd1aeafe3ef63547e9fcbc4c11f;;;;;;0.0;0.0
8;images2;test;DeDwDG4BeGybUkdgQwd0;2.8154674;2019-10-24T14:53:05;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4669.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;3c176627a2abf4960b3935ef701cca58;;;;;;0.0;0.0
9;images2;test;D-DwDG4BeGybUkdgQwfI;2.8154674;2019-10-24T14:45:54;GPS_NO_LOC;Horizontal (normal);True;[];GPS_NO_LOC;2;;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Berlin/;/Users/andregarstka/Pictures/Local/2019 - Berlin/IMG_4655.JPG;2019-10-27;4272;[];GPS_NO_LOC;2848;9abf21e48266e7e7561a593a163a19fb;;;;;;0.0;0.0
